start_time,end_time,duration_hours
2020-04-02 05:10:00,2020-04-02 05:45:00,0.5833333333333334
2020-04-02 05:55:00,2020-04-02 06:30:00,0.5833333333333334
2020-04-02 08:35:00,2020-04-02 09:40:00,1.0833333333333333
2020-04-02 10:05:00,2020-04-02 11:25:00,1.3333333333333333
2020-04-02 11:35:00,2020-04-02 12:30:00,0.9166666666666666
2020-04-02 12:40:00,2020-04-03 05:05:00,16.416666666666668
2020-04-03 05:45:00,2020-04-03 06:15:00,0.5
2020-04-03 06:25:00,2020-04-03 06:55:00,0.5
2020-04-03 07:05:00,2020-04-03 07:40:00,0.5833333333333334
2020-04-03 07:50:00,2020-04-03 12:05:00,4.25
2020-04-03 12:15:00,2020-04-03 13:25:00,1.1666666666666667
2020-04-03 13:35:00,2020-04-03 14:05:00,0.5
2020-04-03 14:15:00,2020-04-03 14:50:00,0.5833333333333334
2020-04-03 15:00:00,2020-04-04 23:35:00,32.583333333333336
2020-04-04 23:55:00,2020-04-05 06:40:00,6.75
2020-04-05 06:50:00,2020-04-05 09:20:00,2.5
2020-04-05 09:55:00,2020-04-05 12:00:00,2.0833333333333335
2020-04-05 12:10:00,2020-04-05 13:20:00,1.1666666666666667
2020-04-05 13:30:00,2020-04-05 15:30:00,2.0
2020-04-05 15:40:00,2020-04-06 11:30:00,19.833333333333332
2020-04-06 12:10:00,2020-04-06 14:55:00,2.75
2020-04-06 15:30:00,2020-04-06 16:00:00,0.5
2020-04-06 16:10:00,2020-04-06 17:00:00,0.8333333333333334
2020-04-06 17:20:00,2020-04-06 19:35:00,2.25
2020-04-06 20:00:00,2020-04-06 20:50:00,0.8333333333333334
2020-04-06 21:15:00,2020-04-06 22:30:00,1.25
2020-04-06 22:40:00,2020-04-07 00:25:00,1.75
2020-04-07 00:40:00,2020-04-07 01:20:00,0.6666666666666666
2020-04-07 01:30:00,2020-04-07 14:15:00,12.75
2020-04-07 14:25:00,2020-04-07 15:45:00,1.3333333333333333
2020-04-07 16:25:00,2020-04-07 17:45:00,1.3333333333333333
2020-04-07 17:55:00,2020-04-07 21:45:00,3.8333333333333335
2020-04-07 22:25:00,2020-04-08 10:40:00,12.25
2020-04-08 10:50:00,2020-04-08 13:55:00,3.0833333333333335
2020-04-08 14:15:00,2020-04-08 16:20:00,2.0833333333333335
2020-04-08 17:00:00,2020-04-08 17:50:00,0.8333333333333334
2020-04-08 18:05:00,2020-04-09 12:55:00,18.833333333333332
2020-04-09 15:15:00,2020-04-10 02:55:00,11.666666666666666
2020-04-10 03:30:00,2020-04-10 11:35:00,8.083333333333334
2020-04-10 11:45:00,2020-04-10 15:25:00,3.6666666666666665
2020-04-10 15:35:00,2020-04-10 16:35:00,1.0
2020-04-10 16:45:00,2020-04-10 19:30:00,2.75
2020-04-10 19:40:00,2020-04-10 20:15:00,0.5833333333333334
2020-04-10 20:25:00,2020-04-11 02:15:00,5.833333333333333
2020-04-11 02:30:00,2020-04-11 13:30:00,11.0
2020-04-11 13:40:00,2020-04-11 22:35:00,8.916666666666666
2020-04-11 22:45:00,2020-04-12 01:45:00,3.0
2020-04-12 01:55:00,2020-04-12 15:25:00,13.5
2020-04-12 16:25:00,2020-04-12 17:20:00,0.9166666666666666
2020-04-12 18:35:00,2020-04-12 23:15:00,4.666666666666667
2020-04-12 23:25:00,2020-04-13 05:15:00,5.833333333333333
2020-04-13 05:25:00,2020-04-13 14:10:00,8.75
2020-04-13 14:20:00,2020-04-13 14:55:00,0.5833333333333334
2020-04-13 15:35:00,2020-04-13 18:00:00,2.4166666666666665
2020-04-14 04:35:00,2020-04-14 10:25:00,5.833333333333333
2020-04-14 10:40:00,2020-04-14 13:05:00,2.4166666666666665
2020-04-14 13:15:00,2020-04-14 15:50:00,2.5833333333333335
2020-04-15 08:55:00,2020-04-15 11:10:00,2.25
2020-04-16 03:45:00,2020-04-16 16:05:00,12.333333333333334
2020-04-16 16:15:00,2020-04-16 19:25:00,3.1666666666666665
2020-04-17 03:05:00,2020-04-17 12:50:00,9.75
2020-04-17 13:10:00,2020-04-17 14:40:00,1.5
2020-04-17 15:00:00,2020-04-17 16:10:00,1.1666666666666667
2020-04-18 03:00:00,2020-04-18 15:50:00,12.833333333333334
2020-04-18 16:00:00,2020-04-18 19:35:00,3.5833333333333335
2020-04-18 22:45:00,2020-04-19 11:20:00,12.583333333333334
2020-04-19 11:40:00,2020-04-19 14:30:00,2.8333333333333335
2020-04-19 14:40:00,2020-04-19 17:35:00,2.9166666666666665
2020-04-19 17:45:00,2020-04-23 09:55:00,88.16666666666667
2020-04-24 02:50:00,2020-04-24 11:35:00,8.75
2020-04-24 12:40:00,2020-04-24 13:20:00,0.6666666666666666
2020-04-24 13:50:00,2020-04-24 14:55:00,1.0833333333333333
2020-04-24 21:30:00,2020-04-25 14:45:00,17.25
2020-04-25 15:50:00,2020-04-25 17:10:00,1.3333333333333333
2020-04-25 17:30:00,2020-04-25 18:15:00,0.75
2020-04-25 18:45:00,2020-04-25 20:00:00,1.25
2020-04-25 21:20:00,2020-04-25 23:30:00,2.1666666666666665
2020-04-26 00:00:00,2020-04-26 06:05:00,6.083333333333333
2020-04-26 06:15:00,2020-04-26 08:05:00,1.8333333333333333
2020-04-26 08:15:00,2020-04-26 15:50:00,7.583333333333333
2020-04-26 16:00:00,2020-04-27 02:00:00,10.0
2020-04-27 02:10:00,2020-04-28 09:30:00,31.333333333333332
2020-04-28 22:45:00,2020-04-29 00:15:00,1.5
2020-04-29 00:25:00,2020-04-29 03:00:00,2.5833333333333335
2020-04-29 03:10:00,2020-04-29 04:40:00,1.5
2020-04-29 04:50:00,2020-04-29 07:05:00,2.25
2020-04-29 07:15:00,2020-04-29 09:50:00,2.5833333333333335
2020-04-29 10:50:00,2020-04-29 13:15:00,2.4166666666666665
2020-04-30 07:40:00,2020-04-30 08:20:00,0.6666666666666666
2020-04-30 08:55:00,2020-04-30 10:50:00,1.9166666666666667
